latitude,longitude,time_utc,altitude,eps,epx,epv,ept,speed_(m/s),climb,master_acc_x,master_acc_y,master_acc_z,master_gyro_x,master_gyro_y,master_gyro_z,slave_acc_x,slave_acc_y,slave_acc_z,slave_gyro_x,slave_gyro_y,slave_gyro_z,mag_x,mag_y,mag_z,master_temp,slave_temp
0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-0.246826171875,-0.216064453125,0.50244140625,125.91552734375,-25.81787109375,-7.8125,0.0,0.0,0.0,0.0,0.0,0.0,19.599246978759766,45.78819274902344,35.08219909667969,19.418546676635742,0.0
0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.00927734375,0.642333984375,0.0263671875,10.68115234375,-16.845703125,1.0986328125,0.0,0.0,0.0,0.0,0.0,0.0,16.902101516723633,44.8832893371582,32.115047454833984,19.13100814819336,0.0
0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.010986328125,0.913330078125,0.154296875,-6.622314453125,1.52587890625,4.82177734375,0.0,0.0,0.0,0.0,0.0,0.0,14.38476848602295,44.521324157714844,31.416894912719727,19.706083297729492,0.0
0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.037353515625,0.552734375,0.10595703125,31.524658203125,-31.55517578125,-6.072998046875,0.0,0.0,0.0,0.0,0.0,0.0,15.28381633758545,41.806610107421875,27.402515411376953,19.51439094543457,0.0
0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.050537109375,1.0654296875,0.058837890625,-0.274658203125,-5.9814453125,1.77001953125,0.0,0.0,0.0,0.0,0.0,0.0,13.665529251098633,40.90170669555664,28.624282836914062,19.706083297729492,0.0
0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.149658203125,1.056396484375,0.077392578125,1.220703125,13.336181640625,6.378173828125,0.0,0.0,0.0,0.0,0.0,0.0,15.28381633758545,39.99679946899414,28.449745178222656,19.706083297729492,0.0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.256103515625,0.992431640625,0.056396484375,2.9296875,27.2216796875,12.0849609375,0.0,0.0,0.0,0.0,0.0,0.0,14.204957962036133,41.08268737792969,25.308053970336914,19.801929473876953,0.0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.283935546875,0.984619140625,0.04736328125,0.946044921875,3.692626953125,-2.105712890625,0.0,0.0,0.0,0.0,0.0,0.0,15.28381633758545,43.9783821105957,24.609901428222656,19.945697784423828,0.0
-1,-1,2020-11-29 10:30:58,-1,-1,-1,0.005,-1,-1,-1,0.265625,0.991455078125,0.051025390625,0.091552734375,2.62451171875,1.556396484375,0.0,0.0,0.0,0.0,0.0,0.0,14.38476848602295,43.797401428222656,24.784439086914062,19.706083297729492,0.0
-1,-1,2020-11-29 10:30:58,-1,-1,-1,0.005,-1,-1,-1,0.26611328125,0.989501953125,0.0498046875,0.030517578125,1.15966796875,1.190185546875,0.0,0.0,0.0,0.0,0.0,0.0,15.82324504852295,44.8832893371582,24.784439086914062,19.801929473876953,0.0
-1,-1,2020-11-29 10:30:58,-1,-1,-1,0.005,-1,-1,-1,0.20654296875,0.996337890625,0.05712890625,0.30517578125,-0.457763671875,-1.312255859375,0.0,0.0,0.0,0.0,0.0,0.0,14.74438762664795,44.15936279296875,25.133516311645508,19.61023712158203,0.0
-1,-1,2020-11-29 10:31:02,-1,-1,-1,0.005,-1,-1,-1,0.21142578125,0.998779296875,0.051025390625,0.244140625,1.3427734375,-0.823974609375,0.0,0.0,0.0,0.0,0.0,0.0,15.10400676727295,44.521324157714844,24.784439086914062,19.61023712158203,0.0
-1,-1,2020-11-29 10:31:03,-1,-1,-1,0.005,-1,-1,-1,0.213134765625,0.99609375,0.052001953125,0.152587890625,0.885009765625,-0.244140625,0.0,0.0,0.0,0.0,0.0,0.0,14.38476848602295,44.15936279296875,25.482593536376953,19.706083297729492,0.0
-1,-1,2020-11-29 10:31:03,-1,-1,-1,0.005,-1,-1,-1,0.195068359375,1.00537109375,0.051513671875,0.0,0.91552734375,1.220703125,0.0,0.0,0.0,0.0,0.0,0.0,15.28381633758545,44.70230484008789,24.26082420349121,19.706083297729492,0.0
-1,-1,2020-11-29 10:31:04,-1,-1,-1,0.005,-1,-1,-1,0.206787109375,1.00146484375,0.045654296875,0.152587890625,0.335693359375,0.701904296875,0.0,0.0,0.0,0.0,0.0,0.0,13.665529251098633,44.521324157714844,23.388134002685547,19.801929473876953,0.0
-1,-1,2020-11-29 10:31:04,-1,-1,-1,0.005,-1,-1,-1,0.231689453125,0.992919921875,0.048583984375,0.48828125,1.739501953125,1.800537109375,0.0,0.0,0.0,0.0,0.0,0.0,15.82324504852295,43.797401428222656,24.784439086914062,19.51439094543457,0.0
-1,-1,2020-11-29 10:31:05,-1,-1,-1,0.005,-1,-1,-1,0.162353515625,0.993408203125,0.05322265625,-0.244140625,0.42724609375,0.8544921875,0.0,0.0,0.0,0.0,0.0,0.0,14.74438762664795,45.2452507019043,23.73720932006836,19.801929473876953,0.0
-1,-1,2020-11-29 10:31:05,-1,-1,-1,0.005,-1,-1,-1,0.267333984375,0.990966796875,0.035888671875,0.396728515625,0.79345703125,0.396728515625,0.0,0.0,0.0,0.0,0.0,0.0,14.38476848602295,45.969173431396484,25.831668853759766,19.466468811035156,0.0
-1,-1,2020-11-29 10:31:06,-1,-1,-1,0.005,-1,-1,-1,0.19677734375,1.005615234375,0.046875,-0.091552734375,0.3662109375,0.518798828125,0.0,0.0,0.0,0.0,0.0,0.0,15.10400676727295,46.69309616088867,23.73720932006836,19.466468811035156,0.0
