latitude,longitude,time_utc,altitude,eps,epx,epv,ept,speed_(m/s),climb,master_acc_x,master_acc_y,master_acc_z,master_gyro_x,master_gyro_y,master_gyro_z,slave_acc_x,slave_acc_y,slave_acc_z,slave_gyro_x,slave_gyro_y,slave_gyro_z,mag_x,mag_y,mag_z,master_temp,slave_temp
41.454487833,-8.624993,2020-11-29 11:22:08,67.9,-1,14.751,0.005,0.006,0.0,0.0,0.15625,0.981689453125,-0.111083984375,0.030517578125,5.55419921875,0.48828125,0.0,0.0,0.0,0.0,0.0,0.0,15.10400676727295,26.061264038085938,24.43536376953125,17.16617202758789,0.0
41.454490167,-8.624993667,2020-11-29 11:22:09,68.3,-1,14.751,0.005,0.012,0.0,0.0,0.211669921875,0.98291015625,-0.10595703125,-0.396728515625,-5.37109375,-0.701904296875,0.0,0.0,0.0,0.0,0.0,0.0,15.82324504852295,26.42322540283203,22.689979553222656,17.309940338134766,0.0
41.454490167,-8.624993667,2020-11-29 11:22:09,68.3,-1,14.751,0.005,0.012,0.0,0.0,0.19580078125,0.993896484375,-0.143310546875,-0.518798828125,2.166748046875,-1.495361328125,0.0,0.0,0.0,0.0,0.0,0.0,13.845338821411133,26.604206085205078,23.562671661376953,17.309940338134766,0.0
41.454491167,-8.624993667,2020-11-29 11:22:10,68.1,-1,14.751,0.005,0.021,0.0,0.0,0.211181640625,0.980224609375,-0.111572265625,-0.54931640625,-0.91552734375,-2.685546875,0.0,0.0,0.0,0.0,0.0,0.0,13.305910110473633,28.956958770751953,23.73720932006836,17.214096069335938,0.0
41.454491167,-8.624993667,2020-11-29 11:22:10,68.1,-1,14.751,0.005,0.021,0.0,0.0,0.16064453125,0.9853515625,-0.11572265625,-0.701904296875,-0.518798828125,0.6103515625,0.0,0.0,0.0,0.0,0.0,0.0,16.003053665161133,26.242244720458984,24.9589786529541,17.07032585144043,0.0
41.4544925,-8.624993,2020-11-29 11:22:11,68.4,-1,14.751,0.005,0.08,0.0,0.0,0.181396484375,0.98583984375,-0.12451171875,0.06103515625,2.50244140625,1.89208984375,0.0,0.0,0.0,0.0,0.0,0.0,16.182863235473633,26.42322540283203,24.086286544799805,17.214096069335938,0.0
41.4544925,-8.624993,2020-11-29 11:22:11,68.4,-1,14.751,0.005,0.08,0.0,0.0,0.198974609375,0.986328125,-0.101806640625,-0.091552734375,-0.67138671875,-1.861572265625,0.0,0.0,0.0,0.0,0.0,0.0,15.82324504852295,28.233036041259766,21.9918270111084,17.309940338134766,0.0
41.454493,-8.624993,2020-11-29 11:22:12,68.4,-1,14.751,0.005,0.046,0.0,0.0,0.33740234375,0.876708984375,-0.177001953125,3.11279296875,0.30517578125,-5.18798828125,0.0,0.0,0.0,0.0,0.0,0.0,15.28381633758545,27.690092086791992,22.864519119262695,17.214096069335938,0.0
41.454493,-8.624993,2020-11-29 11:22:12,68.4,-1,14.751,0.005,0.046,0.0,0.0,-0.046142578125,1.0,-0.10546875,0.79345703125,1.5869140625,2.99072265625,0.0,0.0,0.0,0.0,0.0,0.0,13.126100540161133,25.88028335571289,26.704360961914062,17.022403717041016,0.0
41.454494,-8.624992333,2020-11-29 11:22:13,68.4,-1,14.751,0.005,0.131,0.0,0.0,0.1689453125,0.994140625,-0.111083984375,0.701904296875,11.871337890625,3.387451171875,0.0,0.0,0.0,0.0,0.0,0.0,14.025148391723633,28.59499740600586,25.133516311645508,17.214096069335938,0.0
41.454494,-8.624992333,2020-11-29 11:22:13,68.4,-1,14.751,0.005,0.131,0.0,0.0,0.151611328125,0.989990234375,-0.11181640625,-0.091552734375,3.47900390625,1.129150390625,0.0,0.0,0.0,0.0,0.0,0.0,16.182863235473633,24.975378036499023,24.086286544799805,17.405786514282227,0.0
41.454494833,-8.624992667,2020-11-29 11:22:14,68.6,-1,14.751,0.005,0.013,0.0,0.0,0.147216796875,0.993896484375,-0.11279296875,-0.457763671875,1.556396484375,0.30517578125,0.0,0.0,0.0,0.0,0.0,0.0,14.74438762664795,26.785188674926758,26.529823303222656,17.16617202758789,0.0
41.454494833,-8.624992667,2020-11-29 11:22:14,68.6,-1,14.751,0.005,0.013,0.0,0.0,0.14404296875,0.99072265625,-0.117431640625,-0.30517578125,1.190185546875,0.1220703125,0.0,0.0,0.0,0.0,0.0,0.0,15.28381633758545,26.242244720458984,24.609901428222656,17.357864379882812,0.0
41.454495167,-8.624992333,2020-11-29 11:22:15,68.4,-1,14.751,0.005,0.037,0.0,0.0,0.15380859375,0.990966796875,-0.115478515625,-0.18310546875,0.701904296875,-0.1220703125,0.0,0.0,0.0,0.0,0.0,0.0,14.56457805633545,25.15635871887207,24.26082420349121,17.405786514282227,0.0
41.454495167,-8.624992333,2020-11-29 11:22:15,68.4,-1,14.751,0.005,0.037,0.0,0.0,0.1591796875,0.98583984375,-0.1162109375,-0.3662109375,0.335693359375,-0.42724609375,0.0,0.0,0.0,0.0,0.0,0.0,14.204957962036133,25.88028335571289,24.609901428222656,17.405786514282227,0.0
41.454495667,-8.624993167,2020-11-29 11:22:16,68.5,-1,14.751,0.005,0.024,0.0,0.0,0.170166015625,0.98828125,-0.114501953125,-0.18310546875,1.190185546875,0.091552734375,0.0,0.0,0.0,0.0,0.0,0.0,14.204957962036133,26.604206085205078,24.26082420349121,17.5495548248291,0.0
41.454495667,-8.624993167,2020-11-29 11:22:16,68.5,-1,14.751,0.005,0.024,0.0,0.0,0.159423828125,0.9931640625,-0.120361328125,-0.3662109375,1.40380859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.28381633758545,26.604206085205078,24.9589786529541,17.405786514282227,0.0
41.454496,-8.624993667,2020-11-29 11:22:17,68.5,-1,14.751,0.005,0.01,0.0,0.0,0.163330078125,0.992431640625,-0.1259765625,0.06103515625,2.838134765625,0.42724609375,0.0,0.0,0.0,0.0,0.0,0.0,14.92419719696045,25.518320083618164,24.609901428222656,17.309940338134766,0.0
41.454496,-8.624993667,2020-11-29 11:22:17,68.5,-1,14.751,0.005,0.01,0.0,0.0,0.212890625,0.984130859375,-0.11279296875,0.274658203125,3.082275390625,0.06103515625,0.0,0.0,0.0,0.0,0.0,0.0,15.28381633758545,26.966169357299805,24.26082420349121,17.501632690429688,0.0
41.454496,-8.6249945,2020-11-29 11:22:18,68.5,-1,14.751,0.005,0.046,0.0,0.0,0.190185546875,0.9873046875,-0.111572265625,-0.18310546875,3.23486328125,1.3427734375,0.0,0.0,0.0,0.0,0.0,0.0,14.92419719696045,28.414016723632812,23.213594436645508,17.5495548248291,0.0
41.454496,-8.6249945,2020-11-29 11:22:18,68.5,-1,14.751,0.005,0.046,0.0,0.0,0.18603515625,0.98486328125,-0.109619140625,-0.396728515625,0.640869140625,-1.3427734375,0.0,0.0,0.0,0.0,0.0,0.0,14.38476848602295,28.59499740600586,24.086286544799805,17.405786514282227,0.0
41.4544965,-8.624995,2020-11-29 11:22:19,68.6,-1,12.597,0.005,0.035,0.0,0.0,0.1845703125,0.987060546875,-0.1181640625,-0.30517578125,0.274658203125,-0.091552734375,0.0,0.0,0.0,0.0,0.0,0.0,13.665529251098633,27.509111404418945,24.43536376953125,17.214096069335938,0.0
41.4544965,-8.624995,2020-11-29 11:22:19,68.6,-1,12.597,0.005,0.035,0.0,0.0,0.198486328125,0.98388671875,-0.109619140625,-0.152587890625,2.38037109375,0.54931640625,0.0,0.0,0.0,0.0,0.0,0.0,16.003053665161133,27.3281307220459,23.9117488861084,17.5495548248291,0.0
41.454497333,-8.6249955,2020-11-29 11:22:20,68.9,-1,12.597,0.005,0.042,0.0,0.0,0.197265625,0.98095703125,-0.110595703125,-0.457763671875,0.640869140625,0.152587890625,0.0,0.0,0.0,0.0,0.0,0.0,16.362672805786133,26.966169357299805,24.26082420349121,17.501632690429688,0.0
41.454497333,-8.6249955,2020-11-29 11:22:20,68.9,-1,12.597,0.005,0.042,0.0,0.0,0.23779296875,0.975341796875,-0.1123046875,-0.3662109375,-2.899169921875,-0.213623046875,0.0,0.0,0.0,0.0,0.0,0.0,14.74438762664795,25.337339401245117,23.388134002685547,17.501632690429688,0.0
41.454497333,-8.624994667,2020-11-29 11:22:21,68.7,-1,12.597,0.005,0.058,0.0,0.0,0.323974609375,1.10009765625,-0.00732421875,26.67236328125,-17.578125,10.772705078125,0.0,0.0,0.0,0.0,0.0,0.0,15.10400676727295,23.88949203491211,23.388134002685547,17.5495548248291,0.0
41.454497333,-8.624994667,2020-11-29 11:22:21,68.7,-1,12.597,0.005,0.058,0.0,0.0,0.254638671875,0.65185546875,-0.49267578125,-7.01904296875,4.57763671875,0.762939453125,0.0,0.0,0.0,0.0,0.0,0.0,14.56457805633545,21.174776077270508,14.835756301879883,17.405786514282227,0.0
41.454494167,-8.624992333,2020-11-29 11:22:22,68.4,-1,12.597,0.005,0.417,0.0,161.19,0.296875,0.465576171875,0.415771484375,40.679931640625,28.472900390625,-7.965087890625,0.0,0.0,0.0,0.0,0.0,0.0,14.204957962036133,25.88028335571289,26.704360961914062,17.5495548248291,0.0
41.454494167,-8.624992333,2020-11-29 11:22:22,68.4,-1,12.597,0.005,0.417,0.0,161.19,0.00537109375,0.993896484375,-0.021484375,-0.18310546875,6.2255859375,-1.068115234375,0.0,0.0,0.0,0.0,0.0,0.0,12.766481399536133,30.58578872680664,24.609901428222656,17.59747886657715,0.0
41.454492667,-8.624991167,2020-11-29 11:22:23,68.2,-1,12.606,0.005,0.097,0.0,0.0,-0.06982421875,0.997802734375,-0.05908203125,6.9580078125,-34.027099609375,3.84521484375,0.0,0.0,0.0,0.0,0.0,0.0,13.126100540161133,29.86186408996582,27.402515411376953,17.357864379882812,0.0
41.454492667,-8.624991167,2020-11-29 11:22:23,68.2,-1,12.606,0.005,0.097,0.0,0.0,0.21044921875,0.792724609375,-0.4287109375,10.040283203125,18.6767578125,18.310546875,0.0,0.0,0.0,0.0,0.0,0.0,12.766481399536133,24.794397354125977,22.864519119262695,17.5495548248291,0.0
41.454490667,-8.624989833,2020-11-29 11:22:24,68.0,-1,12.606,0.005,0.293,0.0,0.0,0.23974609375,0.3310546875,0.51123046875,64.27001953125,20.721435546875,22.39990234375,0.0,0.0,0.0,0.0,0.0,0.0,14.74438762664795,24.975378036499023,26.529823303222656,17.5495548248291,0.0
